"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USR0000CGOO","33.0736","-116.8458","466.3","2022-02-26",,,,,,"55","67","43",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-02-27",,,,,,"60","73","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-02-28",,,,,,"66","79","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-01",,,,,,"71","80","61",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-02",,,,,,"69","82","62",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-03",,,,,,"58","70","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-04",,,,,,"49","53","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-05",,,,,,"45","52","41",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-06",,,,,,"47","55","41",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-07",,,,,,"53","66","41",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-08",,,,,,"55","66","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-09",,,,,,"54","66","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-10",,,,,,"52","61","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-11",,,,,,"58","70","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-12",,,,,,"62","75","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-13",,,,,,"56","67","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-14",,,,,,"61","76","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-15",,,,,,"65","77","57",,,,,,,,,,,
